danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,Song Title,Artist
0.598,0.901,0.18181818181818182,0.33663640389725424,1,0.0359,0.116,0.0401,0.178,0.814,0.7825753900365141,audio_features,4cMHCRLPNoEbpnl2rz6GS9,spotify:track:4cMHCRLPNoEbpnl2rz6GS9,https://api.spotify.com/v1/tracks/4cMHCRLPNoEbpnl2rz6GS9,https://api.spotify.com/v1/audio-analysis/4cMHCRLPNoEbpnl2rz6GS9,231120,4,rock,Back on the Chain Gang - 2007 Remaster,Pretenders
0.731,0.807,0.2727272727272727,0.37927206870362795,0,0.1,0.181,0.751,0.319,0.765,0.5597836160892852,audio_features,2bLqfJjuC5syrsgDsZfGmn,spotify:track:2bLqfJjuC5syrsgDsZfGmn,https://api.spotify.com/v1/tracks/2bLqfJjuC5syrsgDsZfGmn,https://api.spotify.com/v1/audio-analysis/2bLqfJjuC5syrsgDsZfGmn,179120,4,rnb,The Way I Are,Timbaland
0.765,0.837,0.09090909090909091,0.2970419847328244,0,0.032,0.00107,1.06e-05,0.0801,0.721,0.603961474119755,audio_features,0KAiuUOrLTIkzkpfpn9jb9,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/tracks/0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/audio-analysis/0KAiuUOrLTIkzkpfpn9jb9,195973,4,pop,Drive By,Train
0.654,0.929,0.09090909090909091,0.32694862710363154,1,0.0998,0.0468,0.0,0.0539,0.902,0.7393407042361413,audio_features,6KTv0Z8BmVqM7DPxbGzpVC,spotify:track:6KTv0Z8BmVqM7DPxbGzpVC,https://api.spotify.com/v1/tracks/6KTv0Z8BmVqM7DPxbGzpVC,https://api.spotify.com/v1/audio-analysis/6KTv0Z8BmVqM7DPxbGzpVC,168840,4,rock,Rock And Roll All Nite,KISS
0.876,0.519,1.0,0.5066718386346004,1,0.143,0.202,0.0,0.108,0.158,0.4701680568274633,audio_features,1ZAyjvIk9YiD76yYy0TEG6,spotify:track:1ZAyjvIk9YiD76yYy0TEG6,https://api.spotify.com/v1/tracks/1ZAyjvIk9YiD76yYy0TEG6,https://api.spotify.com/v1/audio-analysis/1ZAyjvIk9YiD76yYy0TEG6,175230,4,rap,Plug Walk,Rich The Kid
0.586,0.675,0.6363636363636364,0.3812658474741564,1,0.0776,0.26,0.0,0.144,0.473,0.7054348678535016,audio_features,1EKiQ1InQXuodp4M1idrng,spotify:track:1EKiQ1InQXuodp4M1idrng,https://api.spotify.com/v1/tracks/1EKiQ1InQXuodp4M1idrng,https://api.spotify.com/v1/audio-analysis/1EKiQ1InQXuodp4M1idrng,199587,4,country,The Good Stuff,Kenny Chesney
0.622,0.593,0.6363636363636364,0.4879359700882164,0,0.0916,0.163,0.0,0.0979,0.607,0.46029872296420593,audio_features,5WphWTUIfRe7x8NZss79cY,spotify:track:5WphWTUIfRe7x8NZss79cY,https://api.spotify.com/v1/tracks/5WphWTUIfRe7x8NZss79cY,https://api.spotify.com/v1/audio-analysis/5WphWTUIfRe7x8NZss79cY,249093,4,rnb,Let Me Love You,Mario
0.612,0.453,0.45454545454545453,0.6137604837136728,1,0.028,0.636,0.0181,0.101,0.685,0.4903585993255431,audio_features,3bo6fJkaOSCd2d5WsXu7wN,spotify:track:3bo6fJkaOSCd2d5WsXu7wN,https://api.spotify.com/v1/tracks/3bo6fJkaOSCd2d5WsXu7wN,https://api.spotify.com/v1/audio-analysis/3bo6fJkaOSCd2d5WsXu7wN,213973,4,country,Party Time,T.G. Sheppard
0.686,0.92,0.18181818181818182,0.3449402125775022,1,0.0566,0.301,0.27,0.0807,0.225,0.6895641294078594,audio_features,0cJPLFrlV7TTCyPLupHzcH,spotify:track:0cJPLFrlV7TTCyPLupHzcH,https://api.spotify.com/v1/tracks/0cJPLFrlV7TTCyPLupHzcH,https://api.spotify.com/v1/audio-analysis/0cJPLFrlV7TTCyPLupHzcH,511400,4,rock,Won't Get Fooled Again - Original Album Version,The Who
0.543,0.944,0.5454545454545454,0.41491364038972545,1,0.0543,0.402,0.000564,0.0373,0.735,0.5166815616781146,audio_features,4nuUssdgKFy2QyYHHNkZQW,spotify:track:4nuUssdgKFy2QyYHHNkZQW,https://api.spotify.com/v1/tracks/4nuUssdgKFy2QyYHHNkZQW,https://api.spotify.com/v1/audio-analysis/4nuUssdgKFy2QyYHHNkZQW,279440,4,rock,Sunday Bloody Sunday - Remastered 2008,U2
